順位,乗降客数,駅名,路線名,区分,事業者名,都道府県コード
50,15047,"雑餉隈","天神大牟田線","民営","西日本鉄道","40"
51,14098,"福大前","3号線(七隈線)","公営","福岡市","40"
52,13716,"古賀","鹿児島線","ＪＲ","九州旅客鉄道","40"
53,13399,"八幡","鹿児島線","ＪＲ","九州旅客鉄道","40"
54,13384,"下曽根","日豊線","ＪＲ","九州旅客鉄道","40"
55,13184,"六本松","3号線(七隈線)","公営","福岡市","40"
56,13138,"朝倉街道","天神大牟田線","民営","西日本鉄道","40"
57,13019,"西鉄平尾","天神大牟田線","民営","西日本鉄道","40"
58,12691,"門司","山陽線","ＪＲ","九州旅客鉄道","40"
59,12551,"馬出九大病院前","2号線(箱崎線)","公営","福岡市","40"
60,12483,"行橋","日豊線","ＪＲ","九州旅客鉄道","40"
61,11947,"箱崎","鹿児島線","ＪＲ","九州旅客鉄道","40"
62,11876,"太宰府","太宰府線","民営","西日本鉄道","40"
63,11453,"別府","3号線(七隈線)","公営","福岡市","40"
64,11274,"西鉄柳川","天神大牟田線","民営","西日本鉄道","40"
65,11117,"西鉄小郡","天神大牟田線","民営","西日本鉄道","40"
66,11073,"西小倉","鹿児島線","ＪＲ","九州旅客鉄道","40"
67,10957,"今宿","筑肥線","ＪＲ","九州旅客鉄道","40"
68,10619,"笹原","鹿児島線","ＪＲ","九州旅客鉄道","40"
69,10586,"東郷","鹿児島線","ＪＲ","九州旅客鉄道","40"
70,10475,"門司港","鹿児島線","ＪＲ","九州旅客鉄道","40"
71,10452,"周船寺","筑肥線","ＪＲ","九州旅客鉄道","40"
72,9968,"七隈","3号線(七隈線)","公営","福岡市","40"
73,9925,"南小倉","日豊線","ＪＲ","九州旅客鉄道","40"
74,9906,"新宮中央","鹿児島線","ＪＲ","九州旅客鉄道","40"
75,9765,"篠栗","篠栗線","ＪＲ","九州旅客鉄道","40"
76,9456,"白木原","天神大牟田線","民営","西日本鉄道","40"
77,9437,"春日","鹿児島線","ＪＲ","九州旅客鉄道","40"
78,9423,"千代県庁口","2号線(箱崎線)","公営","福岡市","40"
79,9037,"箱崎宮前","2号線(箱崎線)","公営","福岡市","40"
80,8955,"新飯塚","筑豊線","ＪＲ","九州旅客鉄道","40"
81,8933,"九州工大前","鹿児島線","ＪＲ","九州旅客鉄道","40"
82,8877,"城野","日豊線","ＪＲ","九州旅客鉄道","40"
83,8817,"橋本","3号線(七隈線)","公営","福岡市","40"
84,8294,"大牟田","天神大牟田線","民営","西日本鉄道","40"
85,8218,"黒崎駅前","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
86,8199,"呉服町","2号線(箱崎線)","公営","福岡市","40"
87,8073,"野芥","3号線(七隈線)","公営","福岡市","40"
88,8026,"柚須","篠栗線","ＪＲ","九州旅客鉄道","40"
89,8005,"原田","筑豊線","ＪＲ","九州旅客鉄道","40"
90,7966,"渡辺通","3号線(七隈線)","公営","福岡市","40"
91,7853,"長者原","篠栗線","ＪＲ","九州旅客鉄道","40"
92,7642,"花畑","天神大牟田線","民営","西日本鉄道","40"
93,7630,"海老津","鹿児島線","ＪＲ","九州旅客鉄道","40"
94,7628,"千鳥","鹿児島線","ＪＲ","九州旅客鉄道","40"
95,6847,"都府楼前","天神大牟田線","民営","西日本鉄道","40"
96,6792,"平和通","小倉線","三セク","北九州高速鉄道","40"
97,6645,"直方","筑豊線","ＪＲ","九州旅客鉄道","40"
98,6586,"筑紫","天神大牟田線","民営","西日本鉄道","40"
99,6546,"箱崎九大前","2号線(箱崎線)","公営","福岡市","40"
100,6258,"薬院大通","3号線(七隈線)","公営","福岡市","40"
101,6141,"次郎丸","3号線(七隈線)","公営","福岡市","40"
102,6139,"波多江","筑肥線","ＪＲ","九州旅客鉄道","40"
103,6098,"金山","3号線(七隈線)","公営","福岡市","40"
104,6056,"西鉄千早","貝塚線","民営","西日本鉄道","40"
105,6038,"賀茂","3号線(七隈線)","公営","福岡市","40"
106,6030,"羽犬塚","鹿児島線","ＪＲ","九州旅客鉄道","40"
107,5916,"三国が丘","天神大牟田線","民営","西日本鉄道","40"
108,5843,"紫","天神大牟田線","民営","西日本鉄道","40"
109,5781,"西鉄五条","太宰府線","民営","西日本鉄道","40"
110,5683,"枝光","鹿児島線","ＪＲ","九州旅客鉄道","40"
111,5674,"大牟田","鹿児島線","ＪＲ","九州旅客鉄道","40"
112,5614,"下山門","筑肥線","ＪＲ","九州旅客鉄道","40"
113,5337,"天拝山","鹿児島線","ＪＲ","九州旅客鉄道","40"
114,5336,"香春口三萩野","小倉線","三セク","北九州高速鉄道","40"
115,5098,"遠賀川","鹿児島線","ＪＲ","九州旅客鉄道","40"
116,5048,"東福間","鹿児島線","ＪＲ","九州旅客鉄道","40"
117,4986,"茶山","3号線(七隈線)","公営","福岡市","40"
118,4835,"教育大前","鹿児島線","ＪＲ","九州旅客鉄道","40"
119,4831,"苅田","日豊線","ＪＲ","九州旅客鉄道","40"
120,4824,"スペースワールド","鹿児島線","ＪＲ","九州旅客鉄道","40"
121,4799,"守恒","小倉線","三セク","北九州高速鉄道","40"
122,4725,"安部山公園","日豊線","ＪＲ","九州旅客鉄道","40"
123,4610,"朽網","日豊線","ＪＲ","九州旅客鉄道","40"
124,4499,"競馬場前","小倉線","三セク","北九州高速鉄道","40"
125,4484,"徳力公団前","小倉線","三セク","北九州高速鉄道","40"
126,4483,"陣原","鹿児島線","ＪＲ","九州旅客鉄道","40"
127,4454,"片野","小倉線","三セク","北九州高速鉄道","40"
128,4258,"新栄町","天神大牟田線","民営","西日本鉄道","40"
129,4253,"北方","小倉線","三セク","北九州高速鉄道","40"
130,4241,"水巻","鹿児島線","ＪＲ","九州旅客鉄道","40"
131,4139,"企救丘","小倉線","三セク","北九州高速鉄道","40"
